provider,title,description,url,thumbnailUrl,author,price,level,category,score,skills,lectureUpdatedAt,duration,details
udemy,"노코딩, 왕초보도 만드는 무료 홈페이지","코딩없이, 기능제한없는 무료 홈페이지 만드는 법을 배웁니다.",https://www.udemy.com/course/nocodingwebsite/,https://img-c.udemycdn.com/course/240x135/5583016_fb2f.jpg,김지형 M.D.,23000,초급자,웹 개발,0.0,웹 개발,2023/09,2:39,"홈페이지의 기본 구조와 구성, 홈페이지를 만드는 여러 서비스들의 장점과 단점, 구글 사이트 도구를 이용해서 홈페이지를 만드는 방법(간단+제한된 기능), 모든 기능의 복잡한 홈페이지를 무료로 만드는 방법"
udemy,누구나 쉽게 배우는 ChatGPT X 파이썬(Python) 업무자동화(RPA) 스킬,ChatGPT 생성코딩을 활용한 파이썬(Python) 실무 프로젝트로 1일 업무 10분 만에 해결하기,https://www.udemy.com/course/chatgpt_python_rpa/,https://img-c.udemycdn.com/course/240x135/5618462_e6ef_2.jpg,김우현 비현코,29000,초급자,프로그래밍 언어,5.0,Python,2023/11,6:25,"파이썬 코딩을 전혀 모르지만 ChatGPT 생성코딩 기능을 활용하여 코드를 생성하는 방법을 배웁니다., 비개발 사무업무에서 활용할 수 있는 다양한 파이썬 업무자동화 프로그램을 제작할 수 있습니다., 엑셀&PPT&크롤링&파일정리 등 실제 업무에서 활용할 수 있는 다양한 프로그램을 질문만으로 만들어 낼 수 있습니다., 파이썬 기초를 모르는 분도 비개발자의 관점으로 꼼꼼히 알려드려, AI프로그램 제작까지 어려움이 없을정도로 안내합니다., ""이걸 할 수 있다"" 라는 인사이트위주가 아닌, 실제로 질문을 통해서 완벽한 코드를 생성하는 방법을 배웁니다., 파이썬 프로그래밍 뿐만 아니라 VBA 와 같은 다른 코딩언어도 생성하고 활용할 수 있는 방법에 대해서 배웁니다., 크롤링&데이터처리&파일처리&이메일&메신저자동화&AI 등의 개념을 꼼꼼히 알려드려 현업에 응용을 통한 커스터마이징이 가능합니다., 엑셀에 500개문법이 있어도 다 사용하지 않는 것 처럼, 파이썬의 문법 중 업무효율화에 필요한  필수적인 문법을 학습합니다., 단순 코드생성이 아닌, 구동이 되는 코드를 생성형AI를 통해 만들어낼 수 있는 방법을 배웁니다., AI제작을 통한 수치예측 등의 프로그램을 질문만으로 만들어 낼 수 있습니다., 내가 모르는 영역의 기술도 구현할 수 있는 방법을 안내합니다."
udemy,모두를 위한 대규모 언어 모델 LLM Part 1 - Llama 2 Fine-Tuning 해보기,LLM(Large Language Model) 기초 개념부터 고성능 LLM인 Llama 2를 나만의 데이터셋에 파인튜닝(Fine-Tuning)까지!,https://www.udemy.com/course/llm-part-1-llama-2-fine-tuning/,https://img-c.udemycdn.com/course/240x135/5577396_75f8.jpg,AISchool 에이아이스쿨,99000,중급자,데이터 과학,4.9,데이터 과학,2023/10,8:49,"대규모 언어 모델 LLM(Large Language Model)의 기초 개념, Llama 1 모델에 대한 자세한 설명, Llama 2 모델에 대한 자세한 설명, 고성능 LLM인 Llama 2 모델을 내가 원하는 데이터셋에 Fine-Tuning하는 방법, OpenAI API를 이용해서 GPT를 나만의 데이터셋에 Fine-Tuning하는 방법"
udemy,"MySQL 입문, 데이터 분석, 연동, 시각화까지 초단기 마스터 클래스!!","6시간 강의로 MySQL 사용법, 태블로 시각화, Python 연동까지 순식간에 완성!!",https://www.udemy.com/course/modu_sql/,https://img-c.udemycdn.com/course/240x135/5551590_8675_4.jpg,모두의인공지능 ModuAI,23000,초급자,데이터베이스 설계 및 개발,4.0,MySQL,2023/10,5:49,"단 6시간 강의로 MySQL 사용법, 태블로 시각화, NoSQL, Python 연동까지 최고의 효율을 얻으실 수 있습니다., 강의에서 사용하는 데이터, 자료, SQL쿼리문 디지털 파일을 제공합니다., 수강생 만족도 4.7/5.0의 명강의를 온라인으로 편안하게 시청하세요!!, 대학교 현직 강사가 제공하는 전문적인 지식과 노하우를 경쟁력 있는 가격으로 소비하실 수 있습니다."
udemy,【한글자막】 Unreal Engine 5 : 강의 하나로 Niagara VFX 완벽 마스터하기!,Niagara 를 활용하여 Unreal Engine 5 에서 끝내주는 게임용 VFX 를 스텝 바이 스텝으로 구현해보세요!,https://www.udemy.com/course/unreal-engine-5-niagara-vfx-korean/,https://img-c.udemycdn.com/course/240x135/5557998_9a4c_9.jpg,"Vince Petrelli, 웅진씽크빅 글로벌",23000,모든 수준,게임 개발,4.2,언리얼 엔진,2023/10,17:20,"다양한 Niagara 에미터(emitter) 와 렌더러 의 사용법, 다양한 게임용 VFX 를 구현하는 법, VFX 를 위한 다양한 마스터 머티리얼을 생성하는 법, Unreal 에서 바로 노이즈 텍스처 를 굽는 법, 민들레, 비, 폭포 등 다양한 환경 FX 를 구현하는 법, 에너지 타격, 번개 공격, 발사체 등 공격 FX 를 구현하는 법, 커스텀 파티클 동작을 위한 커스텀 모듈을 생성하는 법, 블루프린트로 VFX 동작을 프로그래밍하는 법, 커스텀 Niagara 모듈로 캐릭터 붕괴 효과를 구현하는 법, Niagara 파라미터 / 네임 스페이스 / 함수 / 다이내믹 입력의 기본 개념"
udemy,클린코드 리액트(React),React를 이용하는 초보 개발자들에게 주는 주의사항과 팁 그리고 더 나은 코드와 좋지 못한 코드 그리고 위험하거나 피해야하는 안티 패턴을 숙지합니다.,https://www.udemy.com/course/clean-code-react/,https://img-c.udemycdn.com/course/240x135/5138406_ed49_3.jpg,"Poco Jang, 효성 임",23000,초급자,웹 개발,4.6,React JS,2023/11,2:35,"무의식적으로 활용했던 리액트에 대해 고민하고 생각해보는 시간을 가집니다., 리액트에서의 주요 안티 패턴들을 파악합니다., 어차피 동작하는 리액트 애플리케이션이더라도 조금 더 나은 코드에 대해 알아봅니다., 리액트의 철학과 견해를 해석합니다."
udemy,실전경험 | ChatGPT로 시장조사 웹스크레이핑(크롤링) | 마케팅 맞춤,"시행착오를 통해 고기 잡는 법을 배우는 강의 (네이버 블로그, 네이버 쇼핑, 인스타그램, 메타 광고 라이브러리, 개드립넷 커뮤니티 사이트)",https://www.udemy.com/course/chatgpt_scraping/,https://img-c.udemycdn.com/course/240x135/5588296_9acd_2.jpg,사무직 직장인,23000,초급자,데이터 과학,0.0,ChatGPT,2023/10,1:29,"ChatGPT 활용하는 팁과 오류 대응방안, 네이버 블로그 데이터 가져오는 법, 네이버 쇼핑검색 데이터 가져오는 법, 인스타그램 데이터 가져오는 법, 메타 광고 라이브러리 데이터 가져오는 법, 커뮤니티 사이트(개드립넷) 데이터 가져오는 법"
udemy,"(20% 할인 중)랭체인(LangChain)으로 AI 웹서비스 만들기 with ChatGPT, LLaMA 2","[~11/19 오픈 기념 20% 할인 중!] 인공지능 시인, ChatPDF를 만들며 배우는 실전 수익형 LLM 웹 어플리케이션 만들기",https://www.udemy.com/course/python-langchain/,https://img-c.udemycdn.com/course/240x135/5558682_5626.jpg,조코딩 jocoding,39000,초급자,웹 개발,4.7,LangChain,2023/09,2:43,"랭체인(LangChain) 활용 방법, Vector DB와 Embedding 원리와 활용 방법 (Chroma DB), ChatGPT API 활용 방법, LLaMA 2 활용 방법, 오프라인 환경에서 LLM을 활용하는 방법, Streamlit으로 웹 서비스 만드는 방법, 운영 비용 0원으로 AI 웹서비스 만드는 방법, AI 웹 서비스 수익화 방법"
udemy,"【한글자막】 OpenAI 파이썬 API 부트캠프: AI 와 GPT, 파이썬으로 AI 애플리케이션 개발하기!","프로젝트를 통해 OpenAI 의 강력한 API 로 텍스트와 이미지를 생성하는 인공지능의 힘을 경험, OpenAI 가 제공하는 Python API 활용하기, OpenAI API 를 활용해 파이썬으로 AI 앱 개발하기!",https://www.udemy.com/course/openai-python-api-bootcamp-ai-gpt3-korean/,https://img-c.udemycdn.com/course/240x135/5502232_2049_2.jpg,"Jose Portilla, 웅진씽크빅 글로벌",23000,중급자,데이터 과학,4.3,OpenAI API,2023/09,8:53,"Open API 기초 배우기, API 이용을 위한 OpenAI 계정 만들기, Python으로 OpenAI API 이용해 보기, 10+ 프로젝트를 통해 스타트업 아이디어 떠올리기, 기존 Python 애플리케이션에 OpenAI API를 연동해 AI 기능 활용하기, OpenAI로 텍스트 임베딩해 보기, OpenAI의 GPT 모델 적용하기, DALLE-2 API로 이미지 생성하기, 사용자를 위해 콘텐츠와 이미지 자동 생성하기"
udemy,"의약학,바이오 분야 논문그래프 시리즈-4 :  피라미드 차트",피라미드 차트를 쉽고 편하고 매력적으로 만들기,https://www.udemy.com/course/4-jhasdu/,https://img-c.udemycdn.com/course/240x135/5501802_f168.jpg,김지형 M.D.,23000,초급자,데이터 과학,0.0,데이터 시각화,2023/08,0:32,"데이터의 종류에 어울리는 그래프를 선택하기, 의약학,바이오 분야 그래프 중 가장 흔히 사용되는 것을 잘 만들기, 피라미드 차트를 쉽고 편하고, 매력적으로 만들기, 수준 높은 그래프를 만든 뒤에 논문에 제출하기 좋도록 편집하기"
